id	primary_name	total.dois	Unique-dois-in-wikipedia	%Unique-dois-in-wikipedia 	prefixes
848	Zoological Society of Japan	3200	216	6.75	10.2108
7326	Geological Society of Norway	60	4	6.66666666666667	10.17850
8858	Suomalaisen Kirjallisuuden Seura	60	4	6.66666666666667	10.21435
1255	Southwestern Association of Naturalists	1298	86	6.62557781201849	10.1894
393	Society for Neuroscience	21962	1416	6.44750022766597	10.1523
4989	International Association for Plant Taxonomy	1243	80	6.43604183427192	10.12705
3788	Hypothesis Journal	141	9	6.38297872340426	10.5779
1914	The Raptor Research Foundation, Inc.	740	47	6.35135135135135	10.3356
2208	American Astronomical Society	9848	622	6.31600324939074	10.3847
2148	Comparative Cognition Society	95	6	6.31578947368421	10.3819
6731	Folia Entomologica Hungarica	16	1	6.25	10.17112
7779	University of Tennessee, Knoxville	16	1	6.25	10.7290
2849	Korean Neuropsychiatric Association (KAMJE)	273	17	6.22710622710623	10.4306
1220	American Society of Parasitologists	4189	260	6.20673191692528	10.1645
234	American Society of Hematology	27836	1715	6.16108636298319	10.1182
7742	University of Puerto Rico at Mayaguez	228	14	6.14035087719298	10.18475
3443	National League for Nursing	33	2	6.06060606060606	10.5480
1453	Chelonian Conservation and Biology Journal	535	32	5.98130841121495	10.2744
1249	University of Notre Dame	1550	92	5.93548387096774	10.1674
291	Rockefeller University Press	58518	3456	5.90587511534912	10.1083, 10.1085, 10.1084
6972	Academy of Medical and Health Research	17	1	5.88235294117647	10.17511
7105	Paul Mellon Centre for Studies in British Art	120	7	5.83333333333333	10.17658
3726	Finnish Zoological and Botanical Publishing Board	1053	61	5.79297245963913	10.5735
1647	New England Botanical Club	470	27	5.74468085106383	10.3119
1228	Florida Entomological Society	2455	141	5.74338085539715	10.1653
6221	National Institute for Health Research	1342	77	5.73770491803279	10.15594, 10.3310
221	American Association for the Advancement of Science (AAAS)	281561	16142	5.73303831141387	10.1126
1015	Morgan & Claypool Publishers LLC	1054	59	5.5977229601518	10.2200, 10.4199
260	The Haworth Press	14180	791	5.57827926657264	10.1300
1864	Royal Swedish Academy of Sciences	1041	58	5.57156580211335	10.1579
1743	Torrey Botanical Society	647	36	5.56414219474498	10.3159
3650	Japanese Society of Zoo and Wildlife Medicine	72	4	5.55555555555556	10.5686
414	Genetics Society of America	8061	447	5.54521771492371	10.1534
4876	Wildlife Information Liaison Development Society	2740	151	5.51094890510949	10.11609
232	American Society for Clinical Investigation	33240	1831	5.50842358604092	10.1172
4374	eLife Sciences Organisation, Ltd.	5195	286	5.50529355149182	10.7554
3072	Botanical Garden Meise	346	19	5.49132947976879	10.5091
4795	The Higher Education Academy	164	9	5.48780487804878	10.11120, 10.3108
430	American Society for Photobiology	914	50	5.47045951859956	10.1562
4514	Royal Botanical Gardens and Domain Trust	732	40	5.46448087431694	10.7751
1305	WHO Press	2609	141	5.40436949022614	10.2471
1073	Pontificia Universidad Catolica de Valparaiso	1244	67	5.38585209003216	10.3856, 10.2225, 10.4151, 10.5027
2396	Entomological Society of Southern Africa	613	33	5.38336052202284	10.4001
1564	Wildlife Biology	632	34	5.37974683544304	10.2981
235	American Society for Microbiology	171095	9172	5.36076448756539	10.1128
5654	Instituto de Botanica Darwinion (IBODA)	56	3	5.35714285714286	10.14522
3459	International Journal of Wellbeing	152	8	5.26315789473684	10.5502
5509	Japanese Society of Anxiety Disorders	57	3	5.26315789473684	10.14389
3616	Insciences Organization	19	1	5.26315789473684	10.5640
4149	Geography Department, University of Sao Paulo	19	1	5.26315789473684	10.7154
9367	International Journal of Professional Business Review	19	1	5.26315789473684	10.21902
11953	Scuola Normale Superiore - Edizioni della Normale	19	1	5.26315789473684	10.2422
246	Cold Spring Harbor Laboratory	59135	3094	5.2320960514078	10.14224, 10.1261, 10.1101
340	Public Library of Science (PLoS)	235882	12321	5.22337439906394	10.24196, 10.1371
1843	Specjalisci Dermatolodzy	251	13	5.1792828685259	10.3315
440	Royal College of Obstetricians & Gynaecologists (RCOG)	78	4	5.12820512820513	10.1576
2992	Terrapub	236	12	5.08474576271187	10.5047
5523	Society for the Preservation of Natural History Collections (SPNHC)	59	3	5.08474576271187	10.14351
1741	American Entomological Society	1027	52	5.06329113924051	10.3157
259	Guttmacher Institute	1110	56	5.04504504504505	10.1363
3210	Netherlands Ornithologists' Union	420	21	5	10.5253
2154	Stem Book	80	4	5	10.3824
11321	Bates College	20	1	5	10.26780
2355	Pacific Coast Entomological Society	441	22	4.98866213151927	10.3956
2356	Southern African Wildlife Management Association	261	13	4.98084291187739	10.3957
130	Thomas Land Publishers	745	37	4.96644295302013	10.1310
4539	Korean Vaccine Society (KAMJE)	122	6	4.91803278688525	10.7774
86	FASEB	11161	547	4.90099453453992	10.1096
1798	E-MED LTD	757	37	4.88771466314399	10.1102
9067	New Zealand Ecological Society	41	2	4.87804878048781	10.20417
432	Now Publishers	1482	72	4.8582995951417	10.1561
5550	The Arctic Institute of North America	4552	221	4.85500878734622	10.14430
5582	National Museum	62	3	4.83870967741936	10.14446
3722	Blacksmith Institute	145	7	4.82758620689655	10.5696
309	Vathek Publishing	249	12	4.81927710843374	10.1350
3556	Sociedad Latinoamericana de Especialistas en Mamiferos Acuaticos (SOLAMAC)	230	11	4.78260869565217	10.5597
7941	Faroe University Press	84	4	4.76190476190476	10.18602
6017	Tusi Mathematical Research Group	21	1	4.76190476190476	10.15352
6756	Agricultural University of Iceland	21	1	4.76190476190476	10.16886
5546	Biology Centre, AS CR	2528	120	4.74683544303798	10.14411
6224	Centers for Disease Control MMWR Office	1278	60	4.69483568075117	10.15585
7638	University of Louisville	43	2	4.65116279069768	10.18297
460	American Fisheries Society	4265	198	4.64243845252052	10.1577
3483	Edentata	65	3	4.61538461538462	10.5537
5362	Polskie Towarzystwo Geologiczne - Polish Geological Society	65	3	4.61538461538462	10.14241
1234	Humboldt Field Research Institute	2414	110	4.55675227837614	10.1656
2016	Journal of the North Atlantic	198	9	4.54545454545455	10.3721
1263	JANAS	132	6	4.54545454545455	10.2181
1940	Tethys, Journal of Weather & Climate of the Western Mediterranean	66	3	4.54545454545455	10.3369
1223	Association of Field Ornithologists	378	17	4.4973544973545	10.1648
1247	Society of Wetland Scientists	534	24	4.49438202247191	10.1672
252	Environmental Health Perspectives	15836	710	4.48345541803486	10.1289
3568	The Korean Society for Brain and Neural Science (KAMJE)	272	12	4.41176470588235	10.5607
2558	Physicians Postgraduate Press, Inc	8287	365	4.40448895860987	10.4088
1229	Helminthological Society	751	33	4.39414114513981	10.1654
631	Japanese Society for Complementary & Alternative Medicine	228	10	4.3859649122807	10.1625
6976	Botanical Garden - Institute of the Far Eastern Branch of the RAS	114	5	4.3859649122807	10.17581
72	CNRI Acct	1121	49	4.37109723461195	10.1045
2487	The American Association of Immunologists	29493	1285	4.35696605974299	10.4049
990	Johnson Graduate School of Management, Cornell University	138	6	4.34782608695652	10.2189
7157	Austrian Geological Society (OGG)	46	2	4.34782608695652	10.17738
1261	Castanea	623	27	4.3338683788122	10.2179
257	Geological Society of America	43156	1863	4.31689683937344	10.1130
1644	Data Trace Publishing Company	255	11	4.31372549019608	10.3113
10519	Journal of Microbiology and Biotechnology Research	47	2	4.25531914893617	10.24896
1744	Southern California Academy of Sciences	191	8	4.18848167539267	10.3160
11219	Orebro Univeirsty Hospital, EVTM Program	24	1	4.16666666666667	10.26676
4995	Samtid	24	1	4.16666666666667	10.12742
1235	International Mountain Society (IMS) and United Nations University	1466	61	4.16098226466576	10.1659
538	Johnson Matthey	673	28	4.16047548291233	10.1595
2193	Sapiens Publishing, LTD	361	15	4.15512465373961	10.3843
428	Laser Pages Publishing Ltd.	976	40	4.0983606557377	10.1560
6431	Feminist Studies	98	4	4.08163265306122	10.15767
9093	Cliodynamics: The Journal of Quantative History and Cultural Evolution	49	2	4.08163265306122	10.21237
200	University of Chicago Press	435211	17679	4.06216754631661	10.7208, 10.5950, 10.1086
1805	Czech Geological Society	271	11	4.0590405904059	10.3190
3197	Informa Healthcare	30944	1252	4.04601861427094	10.1517, 10.1185, 10.3111
2360	Transformative Works and Cultures	645	26	4.03100775193798	10.3983
1231	Institute of Arctic and Alpine Research (INSTAAR)	1149	46	4.00348128807659	10.1657
1215	American Fern Society	450	18	4	10.1640
4205	The Robotics Society of Japan	5438	217	3.99043766090474	10.7210
2449	Collegium Basilea	429	17	3.96270396270396	10.1923, 10.4024
3573	Japan Association for Earthquake Engineering	556	22	3.9568345323741	10.5610
2960	International Free and Open Source Software Law Review	76	3	3.94736842105263	10.5033
1982	Western North American Naturalist	845	33	3.90532544378698	10.3398
1648	California Botanical Society	591	23	3.8917089678511	10.3120
2002	Institute of Systematics and Evolution of Animals, Polish Academy of Sciences	694	27	3.89048991354467	10.3409
5263	Ardeola	232	9	3.87931034482759	10.13157
1252	Primate Society of Japan	697	27	3.87374461979914	10.2354
181	Schweizerbart	16040	614	3.82793017456359	10.1127
7232	Moscow University for the Humanities	629	24	3.81558028616852	10.17805
4713	Korean College of Neuropsychopharmacology	319	12	3.76175548589342	10.9758
3302	Herpetological Society of Japan	612	23	3.75816993464052	10.5358
5036	Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego	509	19	3.7328094302554	10.12740
419	Intel	134	5	3.73134328358209	10.1535
352	UPV/EHU Press	2451	91	3.71277029783762	10.1387
5370	Center for Migration Studies	27	1	3.7037037037037	10.14240
417	American Academy of Pediatrics (AAP)	29609	1090	3.6813131142558	10.1542
7734	Lepidopterists' Society	328	12	3.65853658536585	10.18473
1761	Estonian Academy Publishers	1916	70	3.65344467640919	10.3176
1257	Northwestern Naturalist	439	16	3.64464692482916	10.1898
1364	WARC Limited	914	33	3.61050328227571	10.2501
138	Maney Publishing	32086	1150	3.58411768372499	10.1179
8798	Korea Women's Studies Institute	56	2	3.57142857142857	10.21287
5155	Infomesr	28	1	3.57142857142857	10.12986
8680	Endocrine Oncology and Metabolism	28	1	3.57142857142857	10.21040
3082	IBM	6448	228	3.53598014888337	10.1147
5462	Aging and Disease	170	6	3.52941176470588	10.14336
281	MIT Press - Journals	44294	1535	3.46548065200704	10.7551, 10.1162
1449	Frontiers in Bioscience	6406	220	3.43428036216047	10.2741
736	American Society of Nephrology (ASN)	9529	327	3.43162976177983	10.1681, 10.2215
37	American Society of Plant Biologists (ASPB)	38533	1322	3.43082552617237	10.1104, 10.1105
3958	Mushroom Research Foundation	787	27	3.43074968233799	10.5943
2862	National Speleological Society	175	6	3.42857142857143	10.4311
339	Springer Nature	1401554	48006	3.42519803018649	10.3858, 10.1013, 10.1038, 10.1057
10051	Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego	876	30	3.42465753424658	10.23966, 10.4467
1122	Decker, Inc.	1620	55	3.39506172839506	10.2310
379	American Marketing Association (AMA)	3362	114	3.39083878643665	10.1509
3261	Wichtig Publishing, SRL	915	31	3.3879781420765	10.5301
827	Society for the Experimental Analysis of Behavior	7106	240	3.37742752603434	10.1901
382	Joule Inc.	11842	399	3.36936328322918	10.9778, 10.1503
3480	Korean Society for Sexual Medicine and Andrology (KAMJE)	208	7	3.36538461538462	10.5534
1840	Yamashina Institute for Ornithology	1041	35	3.36215177713737	10.3312
4415	Wildlife Disease Association	6182	207	3.3484309285021	10.7589
3266	Journal of Spatial Information Science	90	3	3.33333333333333	10.5311
11286	ABA Espana	30	1	3.33333333333333	10.26741
4147	Japan Antibiotics Research Association	8071	269	3.33292033205303	10.7164
3581	The American Schools of Oriental Research	664	22	3.31325301204819	10.5615
4443	PeerJ	13874	459	3.30834654749892	10.7287, 10.7717
4096	Korean Society of Pediatric Endocrinology	242	8	3.30578512396694	10.6065
843	Monash University	575	19	3.30434782608696	10.2104
5737	NeuroQuantology Journal	759	25	3.29380764163373	10.14704
5553	Research Institute of Asian Women	213	7	3.28638497652582	10.14431
