langfile:page_id	page_title	rev_id	timestamp	type	id
dewiki.tsv:21585	Portable Document Format	155690118	2016-06-28T08:09:10Z	doi	10.7717/peerj-cs.64
dewiki.tsv:10765	Pfeilschwanzkrebse	158079703	2016-09-20T15:10:16Z	doi	10.7717/peerj.641
dewiki.tsv:3982721	Braunkehl-Faultier	155835182	2016-07-03T17:08:32Z	doi	10.7717/peerj.875
dewiki.tsv:6434565	Fayyum (Fossillagerstätte)	172338588	2017-12-27T21:52:31Z	doi	10.7717/peerj.2639
dewiki.tsv:6434565	Fayyum (Fossillagerstätte)	172338588	2017-12-27T21:52:31Z	doi	10.7717/peerj.1717
dewiki.tsv:5465462	Hyaenodonta	173599963	2018-02-02T18:24:53Z	doi	10.7717/peerj.2639
dewiki.tsv:4476542	Heyuannia	143438004	2015-06-25T07:21:10Z	doi	10.7287/peerj.preprints.1080v1
dewiki.tsv:5627539	Balaur	143386694	2015-06-23T19:10:30Z	doi	10.7717/peerj.1032
dewiki.tsv:7278325	Stephanorhinus	164373454	2017-04-08T21:32:19Z	doi	10.7717/peerj.3033
dewiki.tsv:7893877	Fossillagerstätte Geiseltal	166919674	2017-07-02T16:42:56Z	doi	10.7717/peerj.2647
dewiki.tsv:6574917	Cacops	169235208	2017-09-19T05:15:59Z	doi	10.7717/peerj.3727
dewiki.tsv:6080231	Dornschwanzbilch	157094953	2016-08-16T16:13:09Z	doi	10.7717/peerj.2320
dewiki.tsv:6224292	Pachygenelus	173534364	2018-01-31T20:24:40Z	doi	10.7717/peerj.3054
dewiki.tsv:10047970	Fischschuppengecko	169210408	2017-09-18T10:18:44Z	doi	10.7717/peerj.2955
dewiki.tsv:8255163	Autonomous Sensory Meridian Response	170705396	2017-11-06T00:06:26Z	doi	10.7717/peerj.851
dewiki.tsv:10072290	Fukomys livingstoni	169847090	2017-10-09T19:08:40Z	doi	10.7717/peerj.3214
dewiki.tsv:10072598	Fukomys hanangensis	169857043	2017-10-10T06:18:24Z	doi	10.7717/peerj.3214
dewiki.tsv:8866771	Charlotte Helfrich-Förster	164229113	2017-04-04T08:52:11Z	doi	10.7717/peerj.2427
dewiki.tsv:10082005	Pannoniasaurus	170294285	2017-10-24T18:51:24Z	doi	10.7717/peerj.3782
dewiki.tsv:8133824	Lesmesodon	173311587	2018-01-25T12:24:25Z	doi	10.7717/peerj.2639
dewiki.tsv:9136755	Kontralateralität des Vorderhirns	152524318	2016-03-15T11:34:54Z	doi	10.7287/peerj.preprints.432v2
dewiki.tsv:8479526	Macroscelides micus	149505802	2015-12-27T19:34:51Z	doi	10.7717/peerj.1302
dewiki.tsv:9024201	Platydemus manokwari	147200615	2015-10-20T10:43:50Z	doi	10.7717/peerj.297
dewiki.tsv:9024201	Platydemus manokwari	147200615	2015-10-20T10:43:50Z	doi	10.7717/peerj.1037
dewiki.tsv:9024667	Landplanarien	147251233	2015-10-21T20:37:55Z	doi	10.7717/peerj.297
dewiki.tsv:10211159	Akhnatenavus	173497447	2018-01-30T20:06:06Z	doi	10.7717/peerj.2639
dewiki.tsv:10232940	Brychotherium	174091722	2018-02-16T21:05:43Z	doi	10.7717/peerj.2639
dewiki.tsv:7154506	Post-Finasteride Syndrome	165275231	2017-05-07T04:52:51Z	doi	10.7717/peerj.3020
dewiki.tsv:9335805	Sci-Hub	173551711	2018-02-01T10:28:55Z	doi	10.7287/peerj.preprints.3100v2
elwiki.tsv:552862	Κωνσταντίνος Γ. Πάγκαλος	6753648	2017-11-28T09:49:55Z	doi	10.7717/peerj.1955
elwiki.tsv:563851	ΚΩΝΣΤΑΝΤΙΝΟΣ Γ. ΠΑΓΚΑΛΟΣ, MD, DSc	6865455	2018-02-09T10:30:50Z	doi	10.7717/peerj.1955
enwiki.tsv:3240038	Exercise equipment	797976988	2017-08-30T07:56:20Z	doi	10.7717/peerj.441
enwiki.tsv:2780723	Chenopodium vulvaria	643943344	2015-01-24T10:49:13Z	doi	10.7717/peerj.723
enwiki.tsv:2826060	Arctium lappa	794905299	2017-08-10T19:15:24Z	doi	10.7287/peerj.preprints.1871v1
enwiki.tsv:3533321	Amargasaurus	673165406	2015-07-26T15:24:53Z	doi	10.7717/peerj.857
enwiki.tsv:3534505	Cetiosauriscus	724634018	2016-06-10T14:08:39Z	doi	10.7717/peerj.857
enwiki.tsv:4123743	Size–weight illusion	728823105	2016-07-07T21:58:45Z	doi	10.7717/peerj.2124
enwiki.tsv:3628220	Tyrannosauroidea	687149988	2015-10-23T16:29:02Z	doi	10.7287/peerj.preprints.851v1
enwiki.tsv:3535675	The Crow and the Pitcher	707206749	2016-02-27T13:22:57Z	doi	10.7717/peerj.1707
enwiki.tsv:2684958	Hypsilophodont	807434965	2017-10-27T23:01:22Z	doi	10.7717/peerj.1523
enwiki.tsv:3338005	Hallopus	761022634	2017-01-20T11:56:57Z	doi	10.7717/peerj.2801
enwiki.tsv:3539424	Haplocanthosaurus	659575489	2015-04-27T22:56:01Z	doi	10.7717/peerj.857
enwiki.tsv:3635265	Brontosaurus	655360036	2015-04-07T15:29:22Z	doi	10.7717/peerj.857
enwiki.tsv:3635265	Brontosaurus	655367621	2015-04-07T16:26:13Z	doi	10.7717/peerj.712
enwiki.tsv:2793517	Good-morning	682631971	2015-09-24T23:46:48Z	doi	10.7717/peerj.708
enwiki.tsv:2733733	Delayed gratification	708925914	2016-03-08T06:04:51Z	doi	10.7717/peerj.774
enwiki.tsv:3697908	Suuwassea	662227784	2015-05-13T23:57:14Z	doi	10.7717/peerj.857
enwiki.tsv:3454256	Euparkeria	826819479	2018-02-21T04:54:15Z	doi	10.7717/peerj.1778
enwiki.tsv:3454256	Euparkeria	826819479	2018-02-21T04:54:15Z	doi	10.7717/peerj.658
enwiki.tsv:4143960	Fibroblast growth factor	714581837	2016-04-10T17:03:25Z	doi	10.7717/peerj.1535
enwiki.tsv:4021016	Escape response	810642005	2017-11-16T14:59:02Z	doi	10.7717/peerj.3899
enwiki.tsv:3548750	Monoclonius	697010921	2015-12-27T16:20:55Z	doi	10.7717/peerj.252
